,member,F_4xCO2,$\Delta$T
ACCESS-CM2,r1i1p1f1,7.9505942337905395,0.4543250224193324
ACCESS-ESM1-5,r1i1p1f1,7.040336350725782,0.4384674058238166
CESM2,r1i1p1f1,8.897779226277837,0.5896956638687887
CNRM-CM6-1,r1i1p1f2,7.9848715704233495,0.513958797611436
CNRM-ESM2-1,r1i1p1f2,7.642162287029837,0.4591233553189833
CanESM5,r1i1p2f1,7.604644212993161,0.4965592488565562
EC-Earth3,r1i1p1f1,8.094496766923841,0.4957314697809352
GFDL-CM4,r1i1p1f1,8.233804389731636,0.5514969336939696
GFDL-ESM4,r1i1p1f1,7.73499604449526,0.4452961917956126
GISS-E2-1-G,r1i1p1f2,7.273292082369402,0.5413414899327079
GISS-E2-1-G,r1i1p1f1,7.362033158644482,0.518250016565941
HadGEM3-GC31-LL,r1i1p1f3,8.081181193122799,0.5329202470556614
IPSL-CM6A-LR,r2i1p1f1,7.9064038092905085,0.5836975041916465
IPSL-CM6A-LR,r4i1p1f1,7.9091524397619475,0.5854959566299649
IPSL-CM6A-LR,r3i1p1f1,8.018602723422132,0.5799491513047371
IPSL-CM6A-LR,r5i1p1f1,7.928313174313074,0.6015121306676879
IPSL-CM6A-LR,r1i1p1f1,8.011448145478827,0.5772255536084174
MIROC6,r1i1p1f1,7.3330555658192305,0.4653284870251071
MPI-ESM1-2-LR,r1i1p1f1,8.351669645877497,0.5777720865707612
MRI-ESM2-0,r1i1p1f1,7.662118130628015,0.4115103756200091
NorESM2-LM,r1i1p2f1,8.258783919599551,0.5549605992320455
NorESM2-LM,r1i1p1f1,8.1738064903472,0.5407733161202922
NorESM2-MM,r1i1p1f1,8.385277065873002,0.5722614724409615
UKESM1-0-LL,r1i1p1f4,7.937315314439954,0.5507886515722286
